t,S2_Obs,S4_Obs,pS2_Obs,ppS2_S4_S4_Obs,geneD_Obs,geneL_Obs,Compound_1_Obs
0,285.476333015864,66.1230528470647,-0.0901092038492858,1.09182298171414,0.912975799076496,0.946789604937998,1.01462503689926
50,100.134780536525,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,15.8975529293038,NaN,NaN,1.37679893397509,NaN,NaN
65,NaN,NaN,14.5998318169823,26.2993284640078,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,0.643910678687429,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,0.708746161419655
100,92.6589620463976,15.4759073938852,NaN,NaN,1.92253301720326,NaN,NaN
150,118.603685799966,NaN,10.5542024162761,24.9231347109225,NaN,0.623940793701023,0.565147925146026
200,169.428657318707,19.3310640345891,8.5699212184625,23.6464997395453,2.25761445444307,0.547910665275106,NaN
250,NaN,25.0717226956254,7.78179135923417,21.3428168941017,2.71654782102299,NaN,0.372161860934287
300,207.655385160397,NaN,NaN,NaN,NaN,0.498764565377303,0.30738636669137
350,242.622275028739,26.4309989153053,4.2964484213893,18.1212345036687,3.03094533422716,NaN,NaN
400,NaN,35.6874845239552,NaN,18.1051954757294,3.23607745810351,0.687713746958445,0.226834022967112
450,234.940151811845,NaN,3.21549093928084,NaN,NaN,NaN,NaN
500,NaN,41.3679630935393,NaN,14.9399725610678,3.61173380434576,0.673044014603686,0.237172250850187
550,241.251453755262,NaN,1.62730514363935,NaN,NaN,NaN,NaN
600,NaN,47.6349036264763,NaN,11.3227282349656,3.68913978604425,0.779480288058976,NaN
650,NaN,NaN,NaN,NaN,NaN,NaN,0.168359545361022
700,276.113335044132,NaN,0.962598702960658,NaN,NaN,0.857575547230133,NaN
750,NaN,52.006327980024,NaN,6.72676999354789,3.75559591767581,NaN,NaN
800,NaN,NaN,1.12402066090843,NaN,NaN,NaN,0.12861529745113
850,265.640961920977,56.5212269707731,NaN,NaN,3.87616524186571,0.78728678806954,NaN
900,NaN,NaN,NaN,4.52212367647029,NaN,NaN,NaN
1000,277.023191625306,62.0548394646015,0.115650934403791,2.64732095077185,3.85346126532183,0.986644575058309,0.244474318306491
1500,NaN,66.5502252573024,NaN,-0.473241948804063,2.8233889384086,0.998613753429552,0.423368474309308
