t,S2_Obs,S4_Obs,ppS2_ppS2_ppS2_Obs,pS2_Obs,geneD_Obs,geneL_Obs,Compound_1_Obs
0,149.418820304166,228.772478181894,0.0877989747826492,0.106187998954939,1.01019014667992,0.915031243506113,0.970748008635814
9.5,NaN,NaN,0.0212932080786212,NaN,NaN,NaN,NaN
10,140.452286548797,NaN,NaN,0.117222529077504,NaN,NaN,NaN
15,NaN,220.161726631076,NaN,NaN,0.968679915526926,1.01805724343314,1.01901605821164
20,NaN,NaN,-0.0598952628629589,NaN,NaN,NaN,NaN
25,141.679887531441,NaN,NaN,0.00852506237626526,NaN,NaN,NaN
30,NaN,195.465394658946,0.0531794773132348,NaN,0.973354889208476,0.91916328024065,1.13752218848994
40,148.044954288074,NaN,0.10935575424085,0.0262848277922426,NaN,NaN,NaN
45,NaN,204.967799625795,NaN,NaN,0.941533177871947,0.98479687227832,1.00026780055905
55,155.541435449975,NaN,-0.0723861782423688,-0.15007850485779,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,0.997687962251509
65,NaN,215.60891535616,NaN,NaN,0.979987532717152,1.0107452673998,NaN
70,NaN,NaN,0.00178293386190918,-0.108730515735804,NaN,NaN,NaN
75,146.179935172369,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,0.934117962402025
85,NaN,218.591208525374,-0.0821949044894864,NaN,0.977845822173245,0.930662335104457,NaN
90,NaN,NaN,NaN,0.00580752784049267,NaN,NaN,NaN
95,141.918886034242,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,215.702960239985,NaN,NaN,NaN,NaN,1.0179008491102
