t,S2_Obs,S4_Obs,ppS2_ppS2_ppS2_Obs,pS2_Obs,geneD_Obs,geneL_Obs,Compound_1_Obs
0,266.421520488109,63.2535811635997,0.0578211248397891,0.0327955287508312,0.896420039404212,1.00956972503251,0.963726075773255
10,300.196103376241,NaN,NaN,NaN,0.901639974285271,0.860582325743838,1.06063625703954
15,NaN,70.4654846368796,-0.0289596776849944,0.0231726294863489,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,1.03597438891618,1.07688471291847,NaN
25,257.954525857048,63.4858336318075,0.0691557928878822,-0.0335010678966758,NaN,NaN,0.965754862592745
30,NaN,NaN,NaN,NaN,1.00075043618307,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,1.09145950146449,NaN
40,255.046989007543,69.0067997801146,0.0520792067432101,-0.0109708066948952,NaN,NaN,0.825842898932326
45,NaN,NaN,NaN,NaN,1.0016596549192,0.95762805165964,NaN
55,NaN,69.3620656165711,NaN,NaN,NaN,NaN,0.936161997560251
60,275.882221507853,NaN,-0.000176636825714168,-0.015688736588995,1.06875153479207,1.01207313956572,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,1.02907849116503
75,NaN,69.538777251493,0.0474239989209091,NaN,0.9871006706166,NaN,NaN
80,286.093667704856,NaN,NaN,-0.00666022836885634,NaN,0.943369973489187,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,0.981284550475332
95,NaN,64.3696784123681,NaN,NaN,NaN,NaN,NaN
100,NaN,NaN,-0.00880588199762022,-0.00116808009943325,NaN,NaN,NaN
