t,S2_Obs,S4_Obs,pS2_Obs,geneD_Obs,geneK_Obs,geneL_Obs,Compound_1_Obs
0,141.031471214712,211.14763993948,0.0883081186535787,0.903568828386298,1.01297065719355,0.933937852661951,1.01567781527645
45,46.1777001220026,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,88.2875860671118,7.04935800745648,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,0.804868077982985
65,NaN,NaN,NaN,1.32575121721624,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,0.782990569604993,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,0.784319925194585,NaN
90,53.8914868983795,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,73.0690241244606,6.69441824747661,NaN,NaN,NaN,0.671849369534334
150,68.6068621877639,86.1677531356462,5.93736068578155,2.09120400881499,0.563372519249948,NaN,NaN
200,79.1815855757475,111.205830065178,4.44131557432239,2.61668949844494,0.411220735787666,0.621842118813475,0.442214038009859
250,86.3852230467151,NaN,3.45569071542392,NaN,NaN,0.5915964460924,0.358706075702285
300,95.0055852314892,164.557147967555,NaN,3.26372958158205,0.314211975630367,NaN,0.310870759354179
350,126.2744804842,159.911698644677,2.21195898204435,3.55239420073087,NaN,0.575562946098273,NaN
400,NaN,NaN,1.75028421336492,NaN,0.23349294131566,NaN,0.232774717832268
450,124.40200295916,175.858210210976,NaN,3.68887438635009,NaN,NaN,0.236752595293482
500,119.155795449593,NaN,1.31346329537895,NaN,0.215105478362474,0.800164712932966,NaN
550,NaN,184.206202874402,NaN,4.11654334756053,NaN,NaN,0.206844159789301
600,127.712786053396,NaN,0.880133129177496,NaN,NaN,0.865167777884151,NaN
650,NaN,195.576426616881,NaN,NaN,0.117046090511754,NaN,0.172735254150529
700,NaN,NaN,NaN,3.6918813179724,NaN,NaN,NaN
750,140.890496684821,NaN,0.552561877904017,NaN,NaN,0.884415559779464,0.180981031423091
800,NaN,202.051605056033,NaN,3.60681629652017,0.122006291684345,NaN,NaN
900,147.20513164522,NaN,0.226342376409606,NaN,NaN,NaN,0.144733025676234
950,NaN,202.200672773851,NaN,NaN,0.172218820146006,1.01596161108111,NaN
1000,146.06391461759,NaN,0.301693988071232,3.47532417652937,0.235814922678708,1.05372994574466,0.18760289055126
1500,NaN,NaN,NaN,2.6186102536146,0.566414579138653,0.984308477401471,0.535538705228646
