t,S2_Obs,S4_Obs,ppS2_ppS2_ppS2_Obs,pS2_Obs,geneD_Obs,geneL_Obs,Compound_1_Obs
0,150.237197395168,66.591942287393,3.9281876826953e-05,0.0715947429476612,1.11471498504035,1.0719811124,0.976818680574785
10,136.418739719296,73.734626100205,0.072033769534089,0.0636852382594992,1.03764914777403,1.03187308270651,0.975966232946089
20,NaN,65.5619204946633,-0.0961002564189913,NaN,NaN,0.875355664057236,1.00999315208074
25,146.889865210212,NaN,NaN,0.0681359398684088,0.956062782161422,NaN,NaN
30,NaN,NaN,-0.0783410645221571,NaN,NaN,NaN,NaN
35,NaN,70.699536390468,NaN,NaN,0.949741783028161,1.04616994205355,1.01419050482128
40,139.495339041139,NaN,NaN,0.0134246123212812,NaN,NaN,NaN
45,NaN,NaN,0.0140930410975185,NaN,NaN,1.00585636686224,NaN
50,NaN,65.0484245803922,NaN,NaN,NaN,NaN,0.974618983725854
55,161.132619446477,NaN,0.041182412787847,-0.0678924391255931,1.05145888993124,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,0.958708762698923,NaN
65,NaN,76.0208679556682,NaN,NaN,NaN,NaN,1.08422040255455
70,NaN,NaN,-0.0168306400043169,-0.00254698353636986,1.00672505290788,NaN,NaN
75,145.37436413169,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,1.00989098187553,NaN
85,NaN,73.9665295701531,NaN,NaN,NaN,NaN,1.00819672184677
90,NaN,NaN,-0.0129266098339919,NaN,0.97995052279709,NaN,NaN
95,121.867078459337,NaN,NaN,0.06184730156722,NaN,NaN,NaN
