t,npSTAT5_Obs,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,SOCS3nRNA3_Obs
0,0.0100136074985678,1.76392323657455e-05,2.42576252271674e-05,1.99028628661141e-05,0.000722907859075053
15,8.28507154479067,0.00553959338306481,NaN,NaN,0.00219348861790949
20,NaN,NaN,0.00676753603150567,0.00225805168163692,NaN
25,9.0866172722751,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN,0.00535046950095058
35,NaN,0.010401441219122,0.0107747815802214,0.00850278384688818,NaN
40,4.87016392053621,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,0.00471559904646435
50,NaN,0.00689296195108606,NaN,NaN,NaN
55,3.22142992468519,NaN,0.00617863862836203,0.00818870029068494,NaN
60,NaN,NaN,NaN,NaN,0.0024640754548358
75,1.92691547700495,0.00320195806830518,NaN,NaN,NaN
80,NaN,NaN,0.00306628281628963,0.0051690366114294,0.00148421639652583
95,1.36560269732134,0.00214948846344579,NaN,NaN,NaN
100,1.37225403178572,0.00218535452290492,0.00234987238628535,0.00321305537398962,0.00123603862283567
150,1.21404543369814,0.00155882601510985,0.00171830966080208,0.00152509612156481,0.000906547949131865
200,0.927506965832529,0.00147022419475694,0.00140031955197158,0.00155489034114294,0.00111861443100884
250,0.963382810686657,0.00130630244837687,0.00141497025817343,0.00129705306884154,NaN
300,NaN,NaN,NaN,0.00133178389779348,NaN
