t,npSTAT5_Obs,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs
0,0.000897012644317302,6.00440566378756e-05,7.36042304907464e-05,7.81562414977037e-05,0.000346193132882679,0.000346218903787777
10,1.87043142874208,NaN,NaN,NaN,NaN,0.00149522056177656
15,NaN,NaN,NaN,NaN,0.000400990497862213,NaN
20,NaN,0.00289780544143706,NaN,0.00135624814688879,NaN,NaN
25,0.916925765110796,NaN,0.00221956684184518,NaN,0.000366126399973971,0.000429131422597989
35,0.647521821557054,NaN,NaN,NaN,NaN,NaN
40,NaN,0.00155844221107348,NaN,0.00193247388941143,NaN,0.000382447480847177
45,NaN,NaN,NaN,NaN,0.000437585131196322,NaN
50,0.494551223500027,NaN,0.00116418134431255,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,0.000335873241555406
60,NaN,NaN,NaN,0.00126694551779308,0.000353238287753522,NaN
65,0.391738472522872,0.00084211433152492,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,0.000392640774999786
75,NaN,NaN,0.000783625525834396,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,0.000318366886831292,NaN
85,0.352992132704927,NaN,NaN,0.000786211567296921,NaN,NaN
90,NaN,0.000770123281165647,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,0.000341840508025798
100,0.321370187151445,0.000708911154958442,0.000718900372339503,0.000641265933863329,0.00037818348603526,NaN
150,0.340819605160437,0.00056762115235473,0.000634303186159511,0.000569041742113561,NaN,NaN
200,0.249555930582439,0.00052692298003568,0.000532292486344907,0.000570165659389254,NaN,NaN
250,NaN,0.000572463501840702,0.000526629139852097,0.000514232198480452,NaN,NaN
300,NaN,0.000521216739768445,0.000527984796910636,NaN,NaN,NaN
350,NaN,NaN,0.000590859564733491,NaN,NaN,NaN
