t,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs
0,0.000161567959774304,0.000158019460241183,0.000162121632827651,0.00467502795021633,0.00508151992351758
10,0.0138730238990116,0.00524311615934552,0.000562940774087369,NaN,0.00518821716097719
15,NaN,NaN,NaN,0.0296232938479274,NaN
25,0.0725872728977221,0.0633002805811054,0.0258657707151997,NaN,0.0260961772425769
30,NaN,NaN,NaN,0.0306917031631694,NaN
35,0.0600861657135842,0.0640224613967282,NaN,NaN,NaN
40,NaN,NaN,0.0589863358719864,NaN,0.0255167662122994
45,NaN,NaN,NaN,0.0129438289872681,NaN
50,0.0340932939504338,0.0469116507190063,NaN,NaN,NaN
55,NaN,NaN,0.0528184151574671,NaN,0.0148004646181467
65,0.0220001310398628,0.0218776808436697,NaN,0.00850569582941074,NaN
70,NaN,NaN,0.037806355640699,NaN,0.00978373050224453
80,NaN,0.0159280263666075,NaN,NaN,NaN
85,0.0115739001704083,NaN,NaN,0.00626804633584845,NaN
90,NaN,NaN,0.016975501691377,NaN,0.00660697721578045
100,0.00879792658024627,0.0102694567220139,0.0137179208794343,0.00544946877318055,0.00649615889168701
150,0.00953853311893686,0.00911018036118117,0.00859086148716169,0.00580538391519272,0.00610323780863371
200,0.00805659641738929,0.00797408653425177,0.00739680369181945,0.00642420842446508,0.00570648407591672
