t,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,SOCS3nRNA3_Obs
0,6.72093628595002e-05,7.65731432881596e-05,6.28658561955713e-05,0.000306373059190709
8.5,NaN,NaN,NaN,0.000237795943117237
15,NaN,0.000163602729276168,NaN,0.000307356055807634
20,0.000151034696314808,NaN,0.000150908176289658,NaN
25,NaN,NaN,NaN,0.000313734166665635
35,0.00014968355986694,0.000144284522191053,NaN,NaN
40,NaN,NaN,0.000166148637831059,0.000217508067907889
50,NaN,NaN,NaN,0.000316968484928199
55,NaN,9.43273466045939e-05,NaN,NaN
60,8.13444470820644e-05,NaN,0.000151846535735597,NaN
65,NaN,NaN,NaN,0.000314918047165022
75,NaN,0.000117272713599561,NaN,NaN
80,0.000104950958775522,NaN,NaN,NaN
85,NaN,NaN,9.08111547018314e-05,0.000519102038731037
95,NaN,0.000100966809624174,NaN,NaN
100,0.000147884815163264,0.000106731687067825,0.000123041505358464,NaN
150,8.98430434097171e-05,0.000131198801445212,0.000151347565910639,NaN
200,9.46589145252572e-05,0.000105655363539195,0.00010387294472644,NaN
250,NaN,0.000121499227236408,0.0001542041365931,NaN
