t,epo_level,CISHnRNA2_Obs,SOCS3nRNA3_Obs
51,2.5e-09,0.00321534369919423,0.00517374162076732
51,2.5e-09,0.00366434000288528,0.00573977974255544
51,2.5e-09,0.00409040930219563,0.00507532621512804
51,2.5e-08,0.0150164709435638,0.00743286946884186
51,2.5e-08,0.0176231976587441,0.00799846307392104
51,2.5e-08,0.0181653371146879,0.00892615993828091
51,1.25e-07,0.0301200427870225,0.0174671995888265
51,1.25e-07,0.0356412625900493,0.0197275690253514
51,1.25e-07,0.0444946477298239,0.0164173499047929
51,2.5e-07,0.0400105992095304,0.0223980626641677
51,2.5e-07,0.0407029809707705,0.0232797513064233
51,2.5e-07,0.041107896293484,0.0218066213271784
51,1.25e-06,0.0433511502401073,0.0269491884382996
51,1.25e-06,0.0567541135760832,0.0267069956859249
51,1.25e-06,0.0602840712110585,0.0297897737039334
51,2.5e-06,0.0476372836486204,0.027089589920331
51,2.5e-06,0.0504654638639384,0.0281691933456485
51,2.5e-06,0.0514678366816273,0.0259465279619031
