t,epo_level,CISHnRNA3_Obs,CISHnRNA5_Obs
19,2.5e-09,0.0530896349076081,0.0128805997756663
19,2.5e-09,0.0445500310100458,0.010633038176666
19,2.5e-09,0.0344456265641134,0.00885265595469275
19,7.905e-09,0.00387843392202914,0.000852345887145093
19,1.25e-08,0.00498816601169893,0.0011148629736965
19,1.25e-08,0.00514256567133454,0.00159020727091668
19,1.25e-08,0.00694741169474052,0.00128627050941433
19,1.75e-08,0.00619719785418418,0.00165299318175033
19,1.75e-08,0.00818312233379165,0.00159629482068539
19,1.75e-08,0.0331154442530731,0.00957421851960395
19,2.5e-08,0.0278071470528018,0.0107874512865896
19,2.5e-08,0.0371497558572794,0.0109952524411929
19,2.5e-08,0.0561228883436693,0.0246937097235658
19,3.95e-08,0.0633552759516603,0.0315650062180008
19,7.9e-08,0.0859127154057781,0.0257925453601064
19,7.9e-08,0.049518498133065,0.0133417948376509
19,7.9e-08,0.00914630363583878,0.0026722161706938
19,1.25e-07,0.00837108573557161,0.00259529255019625
19,1.25e-07,0.00996571878854223,0.00219601390200789
19,1.25e-07,0.000669472628407603,0.000168393253334959
19,1.7675e-07,0.000579338606646455,0.000191356391285412
19,1.7675e-07,0.000737223696672565,0.000206691599128876
19,1.7675e-07,0.0151041623199261,0.00448494600858011
19,2.5e-07,0.0771937957209514,0.0200677655502445
19,7.905e-07,0.0532818526248425,0.0221687911757018
19,7.905e-07,0.0884799638992287,0.016079265956235
19,7.905e-07,0.00319621209364311,0.000734884610478753
19,2.5e-06,0.024869424987754,0.00733174785958415
19,2.5e-06,0.0218496272069874,0.00640621677268389
19,2.5e-06,0.0348960712946252,0.00719112041511061
