t,npSTAT5_Obs,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,SOCS3nRNA3_Obs
0,0.00883595392225118,7.76376939388342e-05,7.39264071305782e-05,7.44893052799732e-05,0.00510439813462516
6.5,1.64789144084458,NaN,NaN,NaN,NaN
8.5,NaN,NaN,0.00124734058768787,NaN,0.00447018649113651
9.5,NaN,0.00423295938984572,NaN,0.000201148665639217,NaN
15,2.4790346493637,NaN,NaN,NaN,NaN
20,2.4502676881438,0.0167076653216312,0.014159238457597,0.00523415879300656,0.00647728037574951
25,NaN,NaN,0.0156967329970876,NaN,0.0075950157198496
30,2.06326158200157,0.0206044411130651,NaN,0.0129353942406721,NaN
35,1.41393159798409,NaN,0.0179671888124469,NaN,NaN
40,NaN,0.0152419186991119,NaN,NaN,0.00706044069116153
45,1.14158419871721,NaN,NaN,0.0168414398560304,NaN
50,NaN,NaN,0.0141591953405251,NaN,0.00712712120021426
55,NaN,0.00960425186908934,NaN,0.0140938896092509,NaN
60,0.611070001674145,NaN,0.00906568808931391,NaN,0.00620410689862493
65,NaN,0.00543952689226088,NaN,NaN,NaN
70,0.527654766061278,NaN,NaN,NaN,NaN
75,NaN,NaN,0.0058068959275818,0.00739302921425984,NaN
80,NaN,NaN,NaN,NaN,0.00580136257857825
85,0.381640177368554,0.00376897766813116,NaN,NaN,NaN
90,NaN,NaN,0.00357298406870959,NaN,NaN
95,NaN,NaN,NaN,0.00431937756572512,0.00541756340486108
100,0.269522640843417,0.00248862195827397,0.00386225991175931,0.00426604225783355,0.00463084241667153
150,0.239183772549357,0.00202773069400983,0.00203281707107959,0.002212919266115,0.00400541182335911
