t,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,SOCS3nRNA3_Obs
0,5.63642057070671e-05,6.56836802216906e-05,6.43765500073099e-05,0.000392658884101383
8,NaN,NaN,NaN,0.000343567662831553
15,0.000194065533092489,0.000138313695470197,NaN,0.00039245886292021
20,NaN,NaN,0.000117637776196248,NaN
25,NaN,NaN,NaN,0.000368072973067943
30,0.00017903991239128,0.000147323253061291,NaN,NaN
35,NaN,NaN,0.000143078427993798,0.000321832125926344
45,0.000146619475531173,0.000138072092509492,NaN,NaN
50,NaN,NaN,NaN,0.000331594815293878
55,NaN,NaN,0.000151407103354236,NaN
60,0.000132528196983445,NaN,NaN,0.000308314943427275
65,NaN,0.000109439627558928,NaN,NaN
75,NaN,NaN,NaN,0.000310856098446035
80,0.00012415957072227,NaN,0.000136813244771822,NaN
85,NaN,0.000114326883811903,NaN,NaN
95,NaN,NaN,NaN,0.000360868884416575
100,0.000136905217080219,0.00011805324455664,0.000106895519111255,NaN
150,0.000117618539789349,0.000106776017243733,0.000115644158895049,NaN
200,0.000122713199664262,0.000118457154011302,0.000121373594545812,NaN
250,NaN,0.000107452647021976,9.49986136630524e-05,NaN
