t,EpoRJAK2_Obs,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs
0,1.97767027080742,6.25197058095645e-05,6.82945387887045e-05,9.88214037319427e-05,0.000430621062136142,0.000319915220350687
10,NaN,NaN,NaN,NaN,0.00123525260427032,NaN
15,0.355954593688709,0.00220282461878639,NaN,NaN,NaN,0.00054619131449292
20,NaN,NaN,NaN,0.00123135438868334,NaN,NaN
25,0.332399702087544,NaN,0.00272616819417138,NaN,0.000389491905985272,0.000370329343436404
35,NaN,0.00132806549729836,NaN,NaN,0.000416089157657862,NaN
40,0.439244727186954,NaN,NaN,0.0022023273976926,NaN,0.000336458708177286
50,NaN,0.000965040195451863,0.00107487387464593,NaN,0.000274716055950003,NaN
55,0.51784802100317,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,0.000315234931518388
65,NaN,NaN,NaN,0.00115340656339413,NaN,NaN
70,0.665735467772599,0.00116474181079123,NaN,NaN,0.000350001765478419,NaN
80,NaN,NaN,0.00098571298293105,NaN,NaN,0.000340150925369293
85,NaN,NaN,NaN,0.000875338214101346,NaN,NaN
90,0.744278207509309,NaN,NaN,NaN,0.000526838893892259,NaN
95,NaN,0.000907174031675792,NaN,NaN,NaN,NaN
100,0.817273556106632,0.000713630926116589,0.000730864525780514,0.000757808925156355,NaN,0.000326992444233498
150,0.89706643781596,0.000757358723212101,0.000705147097892544,0.000837655655882681,NaN,NaN
200,0.993371498889694,0.000577265514607648,0.000472149522459833,0.000641069867638538,NaN,NaN
250,0.641727013106219,0.000674565124252792,0.000514348900982957,0.000554114764575194,NaN,NaN
300,NaN,NaN,0.000465392688921232,0.000542790633200583,NaN,NaN
350,NaN,NaN,0.000574739709484462,NaN,NaN,NaN
