t,epo_level,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,SOCS3nRNA3_Obs
11,0,7.15935086901306e-05,6.73760599598573e-05,6.44311542804686e-05,0.000373727876232723
11,0,8.70902757570745e-05,6.39693221239277e-05,6.52557754857608e-05,0.000335731997502344
11,4.2857e-08,0.000100691196414698,7.78565422708859e-05,6.21343680917957e-05,0.000319712722922108
11,4.2857e-08,0.000110690265615612,6.8299775871636e-05,6.35027903963666e-05,0.000395492046219139
11,1.4286e-07,0.000254264864702728,0.000109214835891578,6.42988623751205e-05,0.000394335304748873
11,1.4286e-07,0.000288941285312341,0.000123594154865872,7.74221917555186e-05,0.00030773471576921
11,4.2857e-07,0.000758994983274654,0.00028046238803126,8.4179305048241e-05,0.000607684990644078
11,4.2857e-07,0.0007726112924877,0.000317278470479233,8.52529320179201e-05,0.000824553666328061
11,1.4286e-06,0.00169178049629991,0.000712180727317285,0.000128676357565591,0.00154307359310865
11,1.4286e-06,0.00196470289720636,0.000848232293147173,0.000135186525540443,0.00148199267171423
11,4.2857e-06,0.00196645949069277,0.00105326613868061,0.00019333762236133,0.00100882941769484
11,4.2857e-06,0.00232118768964258,0.00115577777958081,0.000164972561957826,0.00112081247333995
11,1.4286e-05,0.00212954530871486,0.00123934758760483,0.000265629133291392,0.000816390124379666
11,1.4286e-05,0.00240123041807499,0.00142903933695905,0.000221123988511596,0.000854857866668498
11,4.2857e-05,0.00213780537907108,0.00128205936952894,0.000200296202677324,0.000939134792163731
11,4.2857e-05,0.00302330526424048,0.00111024125262365,0.000242944998007519,0.000901561431575916
