t,CISHnRNA2_Obs,SOCS3nRNA3_Obs
0,0.000189727157617241,0.00438443518237926
7.5,NaN,0.0069746304417146
9,0.0256671588618366,NaN
15,NaN,0.0202934336075234
20,0.0986169018358598,NaN
25,NaN,0.0535509489433954
30,0.0984781016635558,NaN
35,NaN,0.0506320074312311
40,0.0702619587138581,NaN
45,NaN,0.0361248867436889
50,0.0499107649125167,NaN
55,NaN,0.0252546306994811
65,0.0276354998793576,NaN
70,NaN,0.013683811018531
80,0.020739604106148,NaN
85,NaN,0.00871318419807164
100,0.0178228560833868,0.0086578698414022
150,0.0198678962475956,NaN
