t,EpoRJAK2_Obs,EpoRpJAK2_Obs,npSTAT5_Obs,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs
0,1.63837950430306,0,0,4.75684892198694e-05,7.34628892001446e-05,0.000129916433462633,0.00408561321919355,0.0047483397883587,0.00361971187418681,0.010044018717033
15,1.36094700802519,NaN,10.5615261329087,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,0.0797951006644497,NaN,0.0440393065414133,0.039015031137782,0.0158258381574252,NaN,NaN,0.016114171934297,0.00948232276089194
25,NaN,NaN,NaN,NaN,NaN,NaN,0.0285242317232323,NaN,NaN,NaN
30,1.22617232438069,NaN,NaN,NaN,NaN,NaN,NaN,0.035056799295988,NaN,NaN
35,NaN,0.0934004459582794,6.88738365564093,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,0.0399619287382421,0.0663398869418311,0.0581667144878393,NaN,NaN,0.0213755385573964,0.0364807163932685
50,2.18020125322415,NaN,NaN,NaN,NaN,NaN,0.0118296924880413,NaN,NaN,NaN
55,NaN,0.0669306897986654,2.15143316379023,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0119790853119114,NaN,NaN
65,1.13454812979061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.013725043414646,NaN
70,NaN,NaN,NaN,0.0178426475535985,0.0205884430972443,0.0366843131028598,NaN,NaN,NaN,0.0303392069672708
75,NaN,NaN,0.910241170905701,NaN,NaN,NaN,0.00434233043200755,NaN,NaN,NaN
80,NaN,0.0586344548352671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,1.24457586994506,NaN,NaN,NaN,NaN,NaN,NaN,0.0053270517389164,NaN,NaN
95,NaN,NaN,NaN,0.00805591111049134,0.0118679444618725,0.0179260966842756,NaN,NaN,0.00621926194849382,0.0143771921060242
100,2.09483277666982,0.0859541803512999,1.19362341652086,NaN,NaN,0.00910685903504597,0.00483398252727705,NaN,0.00498527403638172,0.0196556638098933
150,1.23934137338235,0.0867492479786991,0.995551237466898,0.00982379588849858,0.00796219114543647,0.00972936998804947,0.00528878645723824,0.00499880778485625,0.00623889295860666,0.012034388189905
200,1.47535282369335,0.0625267747829143,NaN,0.0107765230482523,NaN,0.00948449980786258,0.00617969491881807,0.00620890908501499,0.00589847086807465,0.0113872649933494
250,1.67381060361035,0.0545230537395156,NaN,NaN,NaN,0.00901751207566697,NaN,0.00506847345654613,NaN,0.0123068701087382
300,NaN,0.0545619410347278,NaN,NaN,NaN,0.00691015757854237,NaN,NaN,NaN,0.00832914922657848
350,NaN,NaN,NaN,NaN,NaN,0.00806654164075303,NaN,NaN,NaN,NaN
400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00886891613850858
450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0116095334057309
