t,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs
0,6.17913024071114e-05,6.92084179841243e-05,6.82034752641368e-05,0.00438281059566696,0.00518826463802471
9,NaN,NaN,NaN,NaN,0.00459032785952574
10,NaN,NaN,NaN,0.00440124348162182,NaN
15,0.000108874126710637,NaN,NaN,NaN,NaN
20,NaN,0.00010352993680689,8.45525058747776e-05,0.00505784188171246,0.00455374774964179
30,NaN,NaN,NaN,0.00495715684920628,0.00431487083084635
35,0.000255830164525212,0.000213569701451097,NaN,NaN,NaN
40,NaN,NaN,0.000186375609823778,NaN,0.00513757928776969
45,NaN,NaN,NaN,0.00442895513264265,NaN
50,0.000202460902764162,NaN,NaN,NaN,0.0042202437058834
55,NaN,0.000174708268893867,NaN,NaN,NaN
60,NaN,NaN,0.000220807065029172,0.00527978027063422,NaN
65,NaN,NaN,NaN,NaN,0.00387670556760278
70,0.000133430213336969,NaN,NaN,NaN,NaN
75,NaN,0.000174023479438934,NaN,0.00454384822656064,NaN
80,NaN,NaN,NaN,NaN,0.00505941887232491
85,NaN,NaN,0.000140220024085561,NaN,NaN
95,0.000122838782114706,NaN,NaN,0.0038037004068305,NaN
100,0.000129035537729381,0.000136015819607144,0.000154616061170965,0.00384186300418884,0.00475021355067015
150,0.000122244540787426,0.00012158480102348,0.000127291917416187,0.00488508445698634,NaN
200,0.000114872260013138,0.000120165300808922,0.000110669218877439,NaN,NaN
250,0.000113319819169846,0.000120403713628599,0.000113362377398884,NaN,NaN
300,NaN,0.000141293561444601,NaN,NaN,NaN
