t,epo_level,CISHnRNA2_Obs,SOCS3nRNA3_Obs
5,2.5e-09,7.16911093608928e-05,0.00459144320241526
5,2.5e-09,7.16965804969417e-05,0.00579023240523958
5,2.5e-09,7.86850325328879e-05,0.00529540058415532
5,2.5e-08,0.000165977617510427,0.00447303103649532
5,2.5e-08,0.000166258014681874,0.00535867771791259
5,2.5e-08,0.000192151685166581,0.0059285556546677
5,2.5e-07,0.00184464795272755,0.0051307385665366
5,2.5e-07,0.00222496252233843,0.00455860120888453
5,2.5e-07,0.0023566501855871,0.00484959986597089
5,2.5e-06,0.0047911636185912,0.00509738428393801
5,2.5e-06,0.00569595528586238,0.00564501192155836
5,2.5e-06,0.00687931457257339,0.00514679485488498
5,2.5e-05,0.00625133857220154,0.00514420284802399
5,2.5e-05,0.00739564083872817,0.0046919757214328
5,2.5e-05,0.00742247394790771,0.00520762603846119
