t,Compound_1_Obs,Compound_2_Obs
0,5371535.86448976,26195902.1967123
3.5,55066734.0649204,41310499.8838196
7,64848431.2263397,72584982.21551
10,58610359.1992727,58585912.0836146
15,59970156.9681011,71025715.7874835
20,58068977.8762458,107234539.88506
25,92530537.1132135,131428607.098873
30,96354080.4023618,140588452.570452
35,88179436.0564446,NaN
40,95852707.8387828,167447230.973106
45,NaN,192527774.803629
50,92383778.7104828,NaN
60,87996249.1194652,255828762.332068
70,88917778.7143058,242632044.601811
