t,Compound_1_Obs,Compound_2_Obs
0,2136150.28941597,42744309.3403659
3,NaN,63428982.5429955
4,1758833.10975635,NaN
6.5,NaN,131792344.339856
7.5,2338687.73100637,NaN
9.5,NaN,106085849.762338
10,1922149.8151641,NaN
15,1936836.43142948,137658961.096971
20,2384365.66228408,150762112.561291
25,NaN,161232596.144778
30,2156702.57195341,172943150.830658
35,2294366.77481581,NaN
40,NaN,178552319.053813
45,2349797.61351054,171186575.171342
55,2199666.35327348,194355548.45929
65,2055980.61528603,185900535.524537
