t,ppS2_ppS2_ppS2_Obs,ppS3_ppS3_ppS3_Obs
0,0.134767801241354,0.384519397694244
65,-0.0629321985675012,NaN
70,NaN,0.187577041580226
150,-0.548403571422911,-0.307246762092911
200,0.0849843919722587,0.336850555256042
250,-0.116158889125062,NaN
300,NaN,-0.210195699685476
350,-0.467192988130699,NaN
400,NaN,-0.212545233423101
450,0.106437235806208,NaN
500,NaN,0.351175902933436
550,-0.204647659320645,NaN
650,0.110395846809629,-0.288744136767181
750,0.0926286319695617,NaN
800,NaN,0.090242400687858
900,0.0687856411629561,NaN
1000,0.0995278151709474,0.256536493361808
1500,-0.0710753686827857,NaN
