t,Rec_Obs,TGFb_pRec_Obs,geneB_Obs,geneJ_Obs
0,1.3535362020575,-0.0065900105145879,6.47685289517297,0.800586050333561
55,NaN,0.076592988520435,16.1077143184585,NaN
60,0.984229889264509,NaN,NaN,NaN
65,NaN,NaN,NaN,0.177468913357061
100,1.27582806844928,0.0530968151733941,26.5427778422651,NaN
150,NaN,NaN,46.170886510079,0.466403023621632
200,0.886876896801969,0.0345384299156589,NaN,0.278932869136046
250,0.664242054564685,0.0236241780384327,49.0461103812867,NaN
300,NaN,0.015608808890095,45.1530306551537,0.306603546982866
350,0.441569872809499,NaN,67.3335488124989,0.421626434361474
400,0.547294525184628,0.0048101661966304,NaN,NaN
450,NaN,NaN,56.1348812661027,0.481798932328239
500,0.398503649630926,0.0103278272126066,NaN,NaN
550,NaN,NaN,45.2978145554515,0.837715638948014
600,0.470599831511447,NaN,NaN,NaN
650,NaN,0.00156205497104191,32.8388480486225,NaN
700,NaN,NaN,NaN,0.67655642246697
750,0.50102569537511,NaN,27.4940504121296,NaN
800,NaN,0.00323716363327113,NaN,0.90202662456019
850,0.151314258927856,NaN,NaN,NaN
900,NaN,NaN,44.0483520423553,NaN
950,NaN,0.00583640083181183,NaN,NaN
1000,0.26731821602979,NaN,31.2596308275013,1.19415389603508
1500,0.380595175353255,NaN,5.03529578688467,0.979581498110881
