t,Rec_Obs,TGFb_pRec_Obs,ppS3_S4_S4_Obs,geneJ_Obs
0,1.19385559292512,0.138087227480315,-0.172769356303352,0.943694297823503
9.5,NaN,-0.0249601101639351,NaN,NaN
10,1.522327510382,NaN,NaN,0.80992679238617
15,NaN,NaN,0.264884948339494,NaN
20,NaN,0.0796904845468,NaN,NaN
25,1.87826248371596,NaN,-0.159915668557421,1.29607766166746
30,NaN,-0.159322982322385,NaN,NaN
35,1.31554380089985,NaN,NaN,NaN
40,NaN,-0.0900921436044952,0.456407487112209,1.05327241590822
50,1.08274947314643,NaN,NaN,NaN
55,NaN,0.0793339656764886,-0.161831959613694,0.634548822992378
70,1.32019098757232,-0.134810806566329,NaN,1.26069318805182
75,NaN,NaN,-0.02067148295573,NaN
85,NaN,0.42681630812039,NaN,NaN
90,1.38767628815512,NaN,NaN,1.18280688231547
100,NaN,NaN,0.232271940407851,NaN
