t,Rec_Obs,TGFb_pRec_Obs,ppS3_S4_S4_Obs,geneJ_Obs
0,1.27129920707926,-0.0886393406446962,0.125378548116036,1.06788847183473
10,1.01902959741635,-0.280353721576662,0.0770038982808708,1.20486631339568
20,NaN,0.00499757263817903,NaN,NaN
25,1.25730787389871,NaN,0.357017440499467,1.10425371974691
35,NaN,-0.522966103084231,NaN,1.35789908513537
40,1.45009404618518,NaN,-0.299110093346228,NaN
50,NaN,0.0828334414932771,NaN,1.30910620433371
55,1.09910862186837,NaN,0.143152805588428,NaN
65,NaN,0.386573611866152,NaN,NaN
70,1.11648020410481,NaN,-0.117447560446732,0.935588444858859
85,NaN,-0.103974771575165,NaN,NaN
90,1.20683219076388,NaN,-0.0840337277295734,1.06683834023708
