t,Rec_Obs,TGFb_pRec_Obs,ppS2_S4_S4_Obs,geneJ_Obs
0,1.11396735945435,-0.00403826645599356,0.355307758114887,1.18240459984132
55,NaN,NaN,9.36287284076193,NaN
60,NaN,0.0679077660101093,NaN,NaN
70,1.01394091068033,NaN,NaN,0.561342676912846
100,NaN,0.0560348388154372,8.96735440967249,NaN
150,0.725215045414212,NaN,NaN,0.542131850777867
200,0.591559801117997,0.033259665668259,6.43071874900241,0.491078847573189
250,NaN,0.0230393732834841,8.27917363141498,NaN
300,0.383790391118029,NaN,5.66566204446885,0.517199545676472
350,NaN,0.0168693882311437,NaN,NaN
400,0.288942064553834,0.0182314329028112,3.73868511076888,0.447754081230204
500,0.578956155081926,0.00869290396497864,3.48944611008918,0.75843901737362
600,NaN,NaN,1.75273492802393,0.536378001662746
650,0.323944203959379,0.00446776558134378,NaN,NaN
700,NaN,NaN,2.84016831902654,NaN
750,NaN,0.0070456948658366,NaN,0.796840108593328
800,0.110067059464093,NaN,NaN,NaN
850,NaN,NaN,1.33034628113751,NaN
950,0.366092195333883,-0.00377226193051849,NaN,1.12047923155883
1000,0.458426437282799,-0.000918725000454121,0.375635944941685,0.962495938024642
1500,0.295948862108449,NaN,-0.304837477456863,1.11474656913714
