t,Rec_Obs,TGFb_pRec_Obs,ppS2_S4_S4_Obs,geneJ_Obs
0,1.19918162490287,0.00656986414090231,-1.83470012745512,0.940607531006375
60,NaN,0.0773652447655493,20.9234079436307,NaN
65,1.12023614983112,NaN,NaN,0.595044946654264
100,NaN,0.0636328069831614,18.8963331711849,NaN
150,0.810750250004057,NaN,NaN,0.259625487065616
200,0.750600703152825,0.03524540797636,14.8732160056307,0.768891868946715
250,NaN,0.0289530675397595,9.32642830376542,NaN
300,0.782336643830175,0.0211522236766311,NaN,0.768067406704654
350,0.536343320438875,NaN,8.65898758737723,0.688698985955848
400,NaN,0.00945459841831812,4.89650135860659,NaN
450,0.650759948479271,NaN,NaN,0.460079513849568
500,NaN,0.0133308994164072,2.30235306739732,NaN
550,0.394831057939705,NaN,NaN,0.646310820221499
600,NaN,0.0119660997032026,3.49280283993001,NaN
650,NaN,NaN,NaN,0.388844237484378
700,0.324812073518859,NaN,NaN,NaN
750,NaN,0.00547650078029948,0.724020193227048,NaN
800,NaN,NaN,NaN,0.664334591521706
850,0.445116417298663,NaN,NaN,NaN
900,NaN,0.00774804785345457,3.62843383080122,NaN
950,NaN,NaN,NaN,1.37934997572208
1000,0.256388674924045,-0.00929421572586016,0.582868469037313,1.01115804081958
1500,0.287305427202363,NaN,-1.27751580069961,0.921246726145682
