t,ppS2_S4_S4_Obs,geneB_Obs
0,0.787023437503833,-0.414229251534661
60,6.91156897909175,11.69825319602
100,NaN,19.6326937845654
150,4.86432756907969,NaN
200,4.1600407022522,32.0709873406616
250,3.42003218428509,23.8824505262737
350,2.04613233759184,30.2354630077125
400,NaN,27.1228454594597
450,2.45806814885497,NaN
500,NaN,17.045813943377
550,1.10661315607092,NaN
600,NaN,17.1605778865579
700,0.477616664705206,NaN
750,NaN,18.3281759604864
850,-0.169358765811155,NaN
900,NaN,8.31338603439944
1000,1.264417988831,9.35307870442258
1500,NaN,0.92525519502574
