t,Rec_Obs,TGFb_pRec_Obs,ppS3_S4_S4_Obs,geneJ_Obs
0,1.21409117743097,-0.48672822069657,-0.219888930272606,0.863773332944379
8.5,NaN,NaN,-0.294305454079243,NaN
10,0.7270194123855,0.244254197128924,NaN,0.972472831371959
15,NaN,NaN,0.0727369688892012,NaN
25,1.02491081832852,0.00849880595651247,-0.15294418500897,0.58441686285837
35,1.06308870530285,0.0489662654182159,0.0522698512629186,0.83890010761895
50,1.88143966799024,0.00939858094643281,-0.309858248709038,1.20569856343213
60,NaN,NaN,0.250039477143272,NaN
65,NaN,-0.0451926540152115,NaN,NaN
70,1.80181071687565,NaN,NaN,1.1749110798738
75,NaN,NaN,0.188456643886039,NaN
85,NaN,0.411818124514031,NaN,NaN
90,1.46742535511302,NaN,NaN,0.975822044283645
