t,STAT5_Obs,SOCS3_Obs
0,140.196916649116,0
10,150.779619769385,0.804147361785918
20,NaN,17.5685092987606
25,253.477144853445,NaN
35,123.889787503157,68.2020601998359
45,NaN,89.5504155327248
50,133.450882465923,NaN
60,NaN,127.006649197661
65,105.975615774015,NaN
75,NaN,139.424999565388
80,116.19380263029,NaN
90,NaN,150.527033227357
100,69.5002491406102,276.32624461719
150,175.464306260752,120.135432296814
200,119.020995235678,178.238475502356
250,94.8227415267347,329.184602916702
300,166.216941287741,200.492543201173
