t,PKD_Obs,CERTERa_Obs,CERTTGNa_Obs
0,662887.023142701,60416331.4530487,22337964.2682102
3,854247.202725982,NaN,NaN
3.5,NaN,293154996.253427,54463757.8011566
6,726442.7524542,NaN,NaN
7,NaN,NaN,129975305.078003
7.5,NaN,269938107.078068,NaN
9.5,663427.944314198,NaN,NaN
10,NaN,327210214.311077,77592028.0911615
15,492860.932704576,504286843.798931,161756447.806283
20,438989.093682972,510114646.690153,135424294.002832
25,428430.125601688,684549445.158795,165323012.99698
30,376832.164560176,NaN,201421361.494647
35,NaN,536850530.083748,219614380.952129
40,492889.452042724,599285848.907395,NaN
45,327379.178278186,NaN,218872597.125306
50,NaN,520703374.853055,NaN
55,464512.023861544,NaN,304372203.117425
65,437388.11203828,NaN,245616085.468123
