t,PKD_Obs,CERTERa_Obs
0,674406.682558706,85176538.7905456
2.5,697608.989404798,NaN
3,NaN,3840882.31962875
5,610822.869336848,NaN
6.5,NaN,3744996.54022671
7.5,829894.611888329,NaN
9.5,NaN,4523289.99130876
10,472761.809910483,NaN
15,630507.354534644,4817405.92671687
20,418065.428235907,6445722.20328653
25,369281.265846727,14423755.3663051
30,211297.819061842,7792849.56140102
35,NaN,11068805.504025
40,193791.109596967,NaN
45,NaN,13159969.4977943
50,NaN,9478757.81594903
60,NaN,11113438.1113373
70,NaN,16316281.6878488
