t,AC_Obs,Csub_Obs,RII_C_2_Obs,RIIp_C_2_Obs,pAC_Obs
0,1.1837280397072,0.15279691470719,0.471192125871315,0.306638518540644,0.0492404746014376
4.5,NaN,NaN,NaN,NaN,0.0101062375265333
8.5,NaN,NaN,NaN,NaN,-0.0844305188254386
9.5,0.965041588299551,NaN,NaN,NaN,NaN
10,NaN,NaN,0.539652021157541,0.299700723106625,NaN
15,NaN,0.144055184801935,NaN,NaN,-0.0242139320614543
20,0.984309579979376,NaN,NaN,0.31744309939218,0.0362847663371103
25,NaN,NaN,0.545305553440287,NaN,-0.0272049823132059
30,0.918349037320813,NaN,NaN,0.294022260634438,-0.0185957087184616
35,NaN,0.153182018987125,0.511921396887817,NaN,-0.0829782793733639
45,1.00661102721113,NaN,NaN,0.355636431787051,-0.0806971507697276
50,NaN,NaN,0.449715608216414,NaN,-0.0532393035292045
55,NaN,0.163552552936907,NaN,NaN,NaN
60,1.0372879798893,NaN,NaN,0.314451845737695,-0.0400567126213033
70,NaN,NaN,0.523446591273839,NaN,NaN
75,NaN,0.148924338457707,NaN,NaN,-0.0197407963314206
80,NaN,NaN,NaN,0.321727381477273,NaN
85,NaN,NaN,NaN,NaN,0.0786087311283288
90,NaN,NaN,0.527653530345313,NaN,NaN
95,NaN,0.138782696973092,NaN,NaN,NaN
100,NaN,0.146301861894004,NaN,NaN,0.0807291702575767
150,NaN,0.129877495464096,NaN,NaN,NaN
200,NaN,0.150224196119403,NaN,NaN,NaN
