t,AC_Obs,Csub_Obs,RII_C_2_Obs
0,0.978134725489583,0.156135790990125,0.489857009904988
7.5,1.02831484963029,NaN,NaN
15,0.929085253854081,NaN,NaN
25,1.07047900059036,NaN,0.50350805199182
30,NaN,0.0723566078150348,NaN
35,0.94650493054582,NaN,NaN
45,0.926603070953381,NaN,NaN
50,NaN,NaN,0.456987917332727
55,1.02969298031606,NaN,NaN
60,NaN,0.0472918287892426,NaN
70,0.834513744078046,NaN,NaN
75,NaN,NaN,0.417901430957191
90,0.867442578956554,0.116895361048906,NaN
100,0.850187866766427,NaN,0.431561876284622
150,NaN,0.0512710112936989,0.386112433919025
200,NaN,NaN,0.362570711640747
250,NaN,0.0178013451741971,0.320487357331712
300,NaN,0.0200740878374113,0.30675465196711
350,NaN,NaN,0.309248782507866
450,NaN,NaN,0.273874265196219
