t,AC_Obs,Csub_Obs,RII_C_2_Obs
0,0.88415464974749,0.178894382209795,0.513690316702847
3,1.0807617895038,NaN,NaN
6.5,1.02560390241932,NaN,NaN
7.5,NaN,NaN,0.481204818297151
9.5,0.925311849206109,0.189739948122489,NaN
15,0.672884224044323,NaN,0.490109767884038
20,0.620317100931063,0.327104303027717,NaN
25,NaN,NaN,0.448234239062898
30,0.693152559548686,0.386130568745146,NaN
35,0.687508743407156,NaN,0.434203351745376
40,0.662594154467617,NaN,NaN
45,NaN,0.410453661859298,0.44793397120165
50,0.592518994786607,NaN,NaN
55,NaN,NaN,0.383375620927594
60,NaN,0.371702299657937,NaN
70,NaN,NaN,0.376146250899294
75,NaN,0.41875375456655,NaN
