t,Csub_Obs,RII_C_2_Obs,RIIp_C_2_Obs
0,0.144622485457699,0.486699239090279,0.333852625922922
20,0.0929863031395023,NaN,0.279993499171134
25,NaN,0.429296599274067,NaN
45,0.060154661968203,NaN,0.26686854028221
55,NaN,0.463026528262408,NaN
70,0.0446877217266963,NaN,0.270405866376993
85,NaN,0.49350531627176,NaN
95,0.0359233252833898,NaN,0.304718806574192
100,0.0351585126321753,0.490296244699117,0.231492873381425
150,0.022879297095211,0.407749524971404,0.282744349178609
200,0.0233693696912253,0.422208671757696,0.240410074904686
250,0.0148160511916262,0.402206760212861,0.246906129986534
300,0.0126637775697186,NaN,0.20798909741919
350,0.0143172853709021,0.363612688015273,0.199316835194812
450,0.0101206735747597,0.399243806864819,0.198004448061406
