t,Csub_Obs,RII_C_2_Obs,RIIp_C_2_Obs
0,0.121298475097749,0.507721885147994,0.313456294208701
5,NaN,NaN,0.31881697126621
7,0.165198672916959,0.495242433984301,NaN
10,NaN,NaN,0.314066587762935
15,0.248852623297202,0.500893794094855,0.0857433592247754
20,NaN,0.475614487416326,0.0524309626494814
25,0.333542318510781,NaN,NaN
30,NaN,0.476623092204988,0.0285783377265838
35,0.379618614500715,NaN,NaN
40,NaN,0.413707441741694,0.0374040210485191
45,0.36828688201282,NaN,NaN
50,NaN,NaN,0.0315659771774582
55,NaN,0.469551458231704,NaN
60,0.381838492078985,NaN,NaN
65,NaN,0.430804554965695,NaN
