t,AC_Obs,Csub_Obs,RII_C_2_Obs
0,0.96101770423791,0.15090121763602,0.528283002800337
7.5,0.965958099868009,NaN,NaN
10,NaN,NaN,0.475718460496682
15,0.974729283035082,NaN,NaN
20,NaN,0.121853245087433,0.541809411887485
25,1.09971560093488,NaN,NaN
35,1.03116504197937,NaN,0.524436126115993
40,NaN,0.158672539595343,NaN
45,0.988822726283576,NaN,0.557860251536716
55,0.937762337919142,NaN,NaN
60,NaN,NaN,0.520324424166123
65,NaN,0.238117614204294,NaN
70,0.865245345889168,NaN,NaN
75,NaN,NaN,0.521492858440198
90,1.02458505896494,0.348701138770556,0.430632343188985
100,0.862712203055069,0.345693159178788,0.442986566019082
150,NaN,0.348253381425654,0.412684858186896
200,NaN,0.363581641779717,0.409801025644516
250,NaN,0.357232148491097,NaN
300,NaN,0.346973782811001,NaN
350,NaN,0.347477910711827,NaN
450,NaN,0.364529681153822,NaN
