t,Csub_Obs,RII_C_2_Obs,IBMX_Obs
0,0.14639556188915,0.500871067804749,3.27062537927933
2.5,NaN,NaN,113.246564602042
5.5,NaN,NaN,96.443753267106
6,0.190628982408316,NaN,NaN
8.5,NaN,NaN,92.6761497131053
9.5,NaN,0.502183739338625,NaN
10,0.211281306222365,NaN,100.274434682673
15,NaN,NaN,98.3254200544022
20,0.213173539932414,0.553672820264981,100.260918599164
25,0.225599223239268,NaN,92.9980261416535
30,NaN,0.485071209759357,NaN
35,0.255134510797294,NaN,NaN
45,0.247144486501821,0.487414948581745,NaN
55,0.233753787621036,0.48380365736703,NaN
75,NaN,0.462315501038323,NaN
