t,AC_Obs,Csub_Obs,RII_C_2_Obs
0,0.989189697323124,0.139129810316932,0.539007355557828
7,0.907610788740639,NaN,NaN
8.5,NaN,0.150978808590931,0.518076870419032
15,1.03379660963456,0.14928209745998,NaN
20,NaN,NaN,0.52691476773113
25,1.01779377315504,0.139514227886453,NaN
30,0.940923965623177,NaN,0.544786481260085
35,NaN,0.152529618880264,NaN
40,0.977763889286733,NaN,0.55988841497516
45,NaN,0.175691794080136,NaN
50,NaN,NaN,0.518670927524427
55,0.989096623381082,0.139834000910945,NaN
65,NaN,NaN,0.438816917073749
70,0.670998676479493,0.31940074786794,NaN
85,0.598505260736677,0.391135001818685,0.457567717390373
100,0.699124437103306,0.437428932703145,NaN
150,NaN,0.404908941051844,NaN
