t,AC_Obs,Csub_Obs,RII_C_2_Obs
0,0.913516712370427,0.156352004127471,0.515544591024737
6.5,0.95433630494236,NaN,NaN
15,0.951711433153618,NaN,NaN
20,1.00715390329797,0.122901268398799,0.531580865535545
30,1.02066453160323,NaN,NaN
40,1.01894430001651,0.10450592026645,NaN
45,NaN,NaN,0.518169965814006
50,0.978234894955405,NaN,NaN
60,NaN,0.0826604791431982,NaN
65,1.00042446475869,NaN,NaN
70,NaN,NaN,0.488758557599616
80,0.834814898729388,NaN,NaN
85,NaN,0.226933953548961,NaN
95,NaN,NaN,0.407212470196063
100,0.91802194413047,0.195096129776554,0.479123335293505
150,NaN,0.120640333507461,0.492620387689745
200,NaN,0.0734890458217437,0.421462269759515
250,NaN,0.0599609002761132,0.413101586141065
300,NaN,0.0330464360345937,0.37794503137408
350,NaN,0.0289207701725993,0.382662865352912
450,NaN,NaN,0.40013511983649
