t,Csub_Obs,RII_C_2_Obs,RIIp_C_2_Obs,RIIp_cAMP_2_Obs,AC_Fsk_Obs
0,0.153034169347727,0.546899588051444,0.320279179319139,0.000488185533631688,-0.0606340734754458
2.5,NaN,NaN,NaN,NaN,0.0136913031797383
4,NaN,NaN,0.088384738558977,NaN,NaN
5.5,NaN,0.489082206260757,NaN,NaN,0.0367287259502198
6,0.248641076320604,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,0.000103728926020851,NaN
8,NaN,NaN,0.0627699326348023,NaN,NaN
8.5,NaN,NaN,NaN,NaN,-0.0013146018201675
10,0.296933877163258,0.443830886173396,0.0427650519457091,NaN,0.0142811193027152
15,NaN,NaN,NaN,6.82328758289781e-05,-0.00567607783433435
20,0.356524899273828,0.4676301553992,0.0314257702962216,6.23530557486374e-05,0.0193548319049952
25,0.375457029100108,0.426368326827838,0.0294993105180908,NaN,0.000894411590960842
30,NaN,NaN,0.0328678621511464,3.59300858742971e-05,0.0544660611820076
35,0.364450246906502,0.47596570015445,NaN,NaN,-0.0156075266259858
40,NaN,NaN,0.0287197004100663,4.27766336151222e-05,NaN
45,0.407564227849281,0.418978042927329,NaN,NaN,0.0592159482142227
55,NaN,0.422395673469662,NaN,4.57314705280805e-05,-0.0420022460450852
60,0.365020947849845,NaN,NaN,NaN,NaN
