t,AC_Obs,Csub_Obs,RII_C_2_Obs
0,0.960286707156759,0.155973235347399,0.576277447201661
3.5,1.0082161590994,NaN,NaN
7,NaN,0.167622748089262,NaN
7.5,0.978772526880957,NaN,NaN
8,NaN,NaN,0.532109904386706
10,0.971631705599702,NaN,NaN
15,0.724591057107189,0.34513600065299,0.50725700004399
20,0.710535534781896,NaN,NaN
25,0.653455785482074,0.322863432006508,0.434734075243122
30,NaN,0.381632137478898,NaN
35,0.613969206786572,NaN,0.442229081599987
40,0.626924755488421,0.42916527547672,NaN
50,0.633298664785483,NaN,0.389285323313328
55,NaN,0.431921451818789,NaN
60,0.711416353911662,NaN,NaN
65,NaN,NaN,0.376775894169425
70,NaN,0.385984105654071,NaN
