t,AC_Obs,Csub_Obs,RII_C_2_Obs
0,0.990866739474686,0.169378668127311,0.500780325346206
7.5,0.964896125468278,NaN,NaN
10,NaN,NaN,0.471135679866855
15,0.943338624849369,0.147494934997174,NaN
25,0.91887001686442,NaN,0.496113145797897
35,0.975978343754602,0.148141459409395,NaN
40,NaN,NaN,0.498462585767718
45,0.983938874824267,NaN,NaN
50,NaN,0.124685900197869,NaN
55,1.01130480095697,NaN,0.511021671559001
70,0.726042544341719,0.295405762051876,NaN
75,NaN,NaN,0.467954177755527
90,0.78015160671378,0.387439249439365,NaN
95,NaN,NaN,0.464709542381908
100,0.871683840563555,0.366191135463652,NaN
150,NaN,0.390019982515661,NaN
200,NaN,0.39995196882761,NaN
250,NaN,0.362161014118248,NaN
300,NaN,0.373549899759034,NaN
350,NaN,0.38732489834463,NaN
