t,AC_Obs,Csub_Obs,RII_C_2_Obs
0,0.942231965208597,0.162113374766019,0.544418486135984
7,1.12647210591746,NaN,NaN
15,1.06892735378622,NaN,NaN
25,0.946063879502246,0.141795249940009,0.507127032187015
30,0.883549842365423,NaN,NaN
40,0.967694096484011,NaN,NaN
55,1.05674671912029,0.1230070971911,0.522869853323605
65,0.814418392939853,NaN,NaN
80,NaN,NaN,0.455871663428113
85,0.943032626947717,0.313909137794938,NaN
100,0.729223678867117,0.292278935237888,0.415194399359618
150,NaN,0.233237166514372,0.406403377041414
200,NaN,0.181045000201674,0.435353941245591
250,NaN,0.146369511631967,0.419775162926454
300,NaN,0.123658065113097,0.37208644760899
350,NaN,0.083018650642996,0.396643253102853
450,NaN,0.0832477014852957,0.415771949730801
