t,input_il6,pJAK1_pgp130_Obs
75,0.1,-0.0517516106108249
75,0.1,-0.0475701148886228
75,0.5,-0.029825023735264
75,0.5,0.1061943422422
75,1,-0.190811361696438
75,1,0.0271442468858361
75,2.5,-0.0100063842777341
75,2.5,0.027174982828625
75,5,-0.03419606502648
75,5,0.0996974937705923
75,10,0.131791056693306
75,10,0.192701538301716
75,25,0.0383480308793197
75,25,0.279154101563469
75,50,-0.0767658887700851
75,50,-0.0636829274710306
75,100,-0.107398806782128
75,100,0.108719475041573
75,500,-0.145728469988934
75,500,0.240438451476067
