t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs
0,0.00103728269436344,-0.0102118071251921
20,0.0122918074408892,0.0367526567717755
40,0.0125285376623219,NaN
45,NaN,0.033452842753427
65,0.0113250438667828,NaN
70,NaN,0.023107005911459
85,0.0097869947250274,NaN
95,NaN,0.02685017735132
100,0.00961350051969776,NaN
150,0.0112925963709663,0.0282279419164431
200,0.00609376249981619,0.031692164447733
250,0.0128782192048685,0.0249543035821469
300,0.00773573172586046,0.0311103134331517
350,0.0125761249649257,0.0181346953552812
