t,input_il6,JAK1_gp130_Obs
65,0,0.570462531267507
65,0,0.596833007367916
65,0.5,0.53660949079747
65,0.5,0.553003252143589
65,1,0.549066484676743
65,1,0.580090180549062
65,2.5,0.558786168101767
65,2.5,0.576999234908861
65,5,0.511212619300368
65,5,0.524339060294223
65,10,0.48794420345988
65,10,0.510942465959152
65,25,0.418406837707568
65,25,0.428776496809804
65,50,0.336048825245311
65,50,0.369907970556324
65,100,0.22425358160808
65,100,0.277398627327677
65,500,0.06066401322697
65,500,0.109463541293815
