t,input_il6,pJAK1_pgp130_Obs
0,2.5,0.00395341379036567
0,2.5,0.00426278895396344
0,2.5,0.00470745523160917
0,2.5,0.00136573627724812
0,2.5,0.00272187786996742
0,10,0.00256546536885404
0,10,0.00312668011522887
0,10,0.00291288925485359
0,10,0.00297974384897149
0,10,0.00472622725904448
0,60,0.00340667889912504
0,60,0.00423375860001886
0,60,0.0029326110543117
0,60,0.00287459273164722
0,60,0.00313702488771059
0,120,0.00151382509098295
0,120,0.00228378010810653
0,120,0.00386412927741952
0,120,0.00267373266425782
0,120,0.00241004133090749
