t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs
0,-0.00439314550311812,-0.00278842748239262
15,0.076499133598078,NaN
20,NaN,0.166447530421597
30,0.092351662434766,NaN
45,NaN,0.156741944496481
50,0.0748001879180255,NaN
65,0.0495530530681309,0.10671313759882
85,0.0677086445128021,NaN
90,NaN,0.103810275489422
100,0.0421441277798377,0.0855535593073135
150,0.0373691216827138,0.0831420037273269
200,0.00826226190817918,0.0376530522835446
250,0.0275771787978725,0.0327461527558947
300,0.0141139005919398,0.0559972488701692
350,NaN,0.0327940632008272
450,NaN,-0.0181103447816449
