t,input_il6,pJAK1_pgp130_Obs
45,0,-0.00497359303541588
45,0,0.0116712517273929
45,0.0005,0.0033786974103254
45,0.0005,0.00443948321608225
45,0.0005,-0.00432882281719971
45,0.0005,0.0153113703744084
45,0.0005,0.00378326330078056
45,0.0005,0.00874432161621605
45,0.005,-0.0004339073751046
45,0.005,-0.00128170463569018
45,0.05,0.00741682593727931
45,0.05,0.0117455418483343
45,0.1,4.37136825877414e-05
45,0.1,0.00535245592847954
45,0.1,-0.0113900549785551
45,0.1,0.00656656733951464
45,0.1,-0.00291870992558089
45,0.1,-0.00565078073922534
45,0.5,0.0117594180743116
45,0.5,0.00541739654380618
45,0.5,-0.000479304950317991
45,0.5,-0.00266850872278515
45,0.5,0.00889884452033968
45,0.5,0.0122087554586011
45,1,0.0127510124532227
45,1,0.00540905906642538
45,1,0.00853587772463002
45,1,0.00665679737297971
45,1,0.00651833570918131
45,1,-0.00353471911859269
45,1,0.010830025341627
45,1,0.0101396663773502
45,2.5,0.043832919424173
45,2.5,0.038689209886552
45,2.5,0.0345790919664741
45,2.5,0.0466224484771565
45,2.5,0.0366838953773443
45,2.5,0.04964480615035
45,2.5,0.0414308582877834
45,2.5,0.0336943335959448
45,5,0.200067507735181
45,5,0.199931904997339
45,5,0.0127325019321429
45,5,0.0208786944038379
45,5,0.0105403539486947
45,5,0.00330915833104991
45,5,0.0103487318908738
45,5,0.0185493612742246
45,10,0.019719762744219
45,10,0.0162689293750808
45,10,0.247361188074561
45,10,0.256734613494868
45,10,0.253694641541633
45,10,0.255465412129028
45,10,0.0875686275194069
45,10,0.0909410652809171
45,25,0.084700501703812
45,25,0.0915049375741158
45,25,0.0908500420918729
45,25,0.0956537621201066
45,25,0.0856354938333656
45,25,0.0928285580007888
45,25,0.030494098222198
45,25,0.024943429318036
45,50,0.0144193307990053
45,50,0.0148033802456872
45,50,0.0331765729271208
45,50,0.0180847973111783
45,50,0.0194317215975048
45,50,0.0139342532983993
45,50,0.139895344989999
45,50,0.140225880602327
45,100,0.143074780786132
45,100,0.135975401837261
45,200,0.135444236118672
45,200,0.145424759633138
45,200,0.151223533349526
45,200,0.142846820193448
45,500,0.30697080608194
45,500,0.315138656282123
45,500,0.31550897243242
45,500,0.311388284811952
45,500,0.307304342587852
45,500,0.302654880075992
45,500,0.295788955993667
45,500,0.306805517584886
