t,input_il6,pJAK1_pgp130_Obs
28,0.1,0.0341699109736277
28,0.1,0.036421664791008
28,0.1,0.0620273758941018
28,0.1,0.0746226668361514
28,1,-0.0302038784669263
28,1,0.00645578413805304
28,1,0.0272116948094522
28,1,0.034087432965956
28,5,0.0179573068701474
28,5,0.0216455932978601
28,5,0.0426308707529328
28,5,0.0443113556321921
28,10,0.00924907934545781
28,10,0.0289062943215924
28,10,0.0326221711636101
28,10,0.0674963175485689
28,50,0.0740292142489724
28,50,0.102086779645396
28,50,0.146232075988364
28,50,0.163691345607272
28,100,0.166015178088918
28,100,0.204281899481675
28,100,0.221829040634121
28,100,0.234490748968683
28,500,0.311911128711497
28,500,0.312766793124649
28,500,0.316544461984471
28,500,0.33004419046295
