t,input_il6,nSTAT3_Obs
960,0.1,14.6696065372509
960,0.1,14.6690598509133
960,0.5,15.0035780161894
960,0.5,15.0028855100438
960,1,15.4126826970405
960,1,15.4119546170363
960,2.5,21.4475445368764
960,2.5,21.4476160590937
960,5,41.4526192713622
960,5,41.4522579950247
960,10,16.5852765436691
960,10,16.583590267658
960,25,28.0024133936191
960,25,28.0039682248877
960,50,18.3764940161918
960,50,18.3773576083214
960,100,34.541885761702
960,100,34.5418075426358
960,500,53.3996335981359
960,500,53.3985944437986
