t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs
0,-0.0049192580782071,0.00221304066298184
20,0.0324109677619931,0.0987806115026502
35,NaN,0.075311043391391
40,0.0422243597733552,NaN
55,NaN,0.0706787627946319
60,0.0312100021257548,NaN
75,NaN,0.0441061816477569
80,0.0297044312045652,NaN
100,0.0323632716436271,0.0483593195699176
150,0.0288458330683341,0.0727734574031255
200,0.0172969629187479,0.0840566953708564
250,0.0289903318792561,0.048666229245607
300,0.0187881153308327,0.065040081463865
350,NaN,0.0563208191997812
