t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSTAT3_Obs
0,-0.00603810363420621,0.0150550691699395,36.2796600239105
15,NaN,NaN,76.8180895065149
20,0.0460212206018915,NaN,NaN
25,NaN,0.147989571913537,NaN
30,NaN,NaN,51.484233664049
35,0.0502872543002371,NaN,NaN
45,NaN,NaN,72.987268543714
55,0.0532470177347003,0.12725899597568,NaN
60,NaN,NaN,50.4264357256775
75,0.0564664797916646,NaN,NaN
80,NaN,NaN,50.1332054936859
85,NaN,0.178316219865528,NaN
100,0.0278744715325171,0.0963125529348425,67.1193231362976
150,0.0538594594511296,0.09492524637503,59.2435346356625
200,0.039095793833874,0.123719766002237,60.2150536718418
250,0.0256086405733545,0.0786087713707101,60.7067451681219
300,0.0625770088020102,0.0471631254559144,36.3691692924738
400,NaN,0.0399172584696205,NaN
