t,Compound_1_Obs,Compound_2_Obs
0,61129677.064492,128609756.655844
3,NaN,186014692.250771
3.5,89730816.2935694,NaN
6.5,NaN,206981147.479572
7,136086659.83781,NaN
9.5,NaN,313115867.258283
10,123421563.483687,NaN
15,215646623.799788,406187568.624802
20,220626803.01878,808015934.074065
25,326584052.128021,693087318.909404
30,289478185.064384,570326342.116386
35,293046956.920282,NaN
40,NaN,679080456.225789
45,316826071.858977,691434288.310796
55,330261597.744912,1019954335.45297
65,519245200.862856,455147009.481059
