t,Compound_1_Obs,Compound_2_Obs
0,44919435.6078324,165574802.897823
3.5,163821605.855426,201749561.749072
7,313329930.93507,NaN
7.5,NaN,119379238.21545
10,295130910.676005,306963463.730954
15,335545191.818336,276071554.171362
20,185426064.076909,268474508.478245
25,353999147.974451,233868471.852397
30,164814721.277232,316540225.433088
35,393952670.398167,NaN
40,352408482.08197,283359004.731691
50,301293359.442768,284192877.164368
60,303484694.866723,515528747.917961
70,290089989.573741,329094244.08386
