t,input_il6,Compound_1_Obs
100,0,0.0934420636426672
100,0,0.527399085916863
100,0.5,-0.516681705468203
100,0.5,0.193030323374339
100,1,-0.354527024126676
100,1,2.76459612143181
100,2.5,0.252424070765025
100,2.5,1.37937461896926
100,5,1.26979109467899
100,5,1.94366932920565
100,10,1.07714967338804
100,10,1.93201335085299
100,25,2.95256769413407
100,25,4.57220672651202
100,50,-0.614531381274787
100,50,0.700803126704163
100,100,1.5095443359932
100,100,2.42685546479272
100,500,-0.0147337281362669
100,500,0.952464513026864
