t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,0.416593429487027,16.3217718107227,-0.0616374004983628
5.5,NaN,NaN,1.41828992034167
6.5,1.76347285090829,13.9408424209365,NaN
10,NaN,NaN,3.09903326149143
15,4.31051861249718,10.3719190403266,4.10096620308472
20,4.57581132658338,10.3374689567123,NaN
25,NaN,13.6947217594176,4.22779060594822
30,3.35284770826956,NaN,3.05063536558416
35,NaN,14.3007739841152,NaN
40,2.54455303268957,NaN,2.2367988172488
45,NaN,15.2315514811577,NaN
50,1.65442611990248,NaN,NaN
55,NaN,13.6052738749302,1.67057779637361
65,1.71759094149095,13.9652646781923,NaN
80,NaN,14.1931708414861,NaN
100,NaN,15.2562132050706,NaN
