t,input_il6,Compound_3_Obs
48,0.1,0.0964027000302596
48,0.1,0.149235967486204
48,0.5,0.09511439130668
48,0.5,0.174470047176651
48,1,0.103006647252281
48,1,0.143448449496656
48,2.5,0.186869759193575
48,2.5,0.201037726345944
48,5,0.31511971909333
48,5,0.323478069073399
48,10,0.563730630468381
48,10,0.653040923261103
48,25,1.21032242880066
48,25,1.23781513090185
48,50,1.72638628287878
48,50,1.881712651704
48,100,2.19671840131242
48,100,2.22986629354448
48,500,1.68437585202413
48,500,1.74526261095933
