t,input_il6,Compound_3_Obs
820,0.1,1.1938553782598
820,0.1,0.558905750445028
820,0.5,0.589257718084227
820,0.5,0.0336330211771455
820,1,-0.259264881718473
820,1,-3.80981352869304
820,2.5,1.09706980531109
820,2.5,1.2280078813201
820,5,-0.246005463106019
820,5,0.753418347784186
820,10,0.500107806820299
820,10,-0.228048761890677
820,25,0.167505046002106
820,25,0.730454278986737
820,50,0.618940270777669
820,50,3.82159124707299
820,100,0.638759906016571
820,100,-0.595154327417655
820,500,1.27970808129325
820,500,3.09387970423546
