t,input_il6,Compound_2_Obs
15,0.1,14.7920250922657
15,0.1,15.3056818760996
15,0.1,16.0992375112769
15,0.1,18.5046980800733
15,1,14.6869416456556
15,1,15.227319008436
15,1,16.6281916313224
15,1,17.0186467582672
15,5,15.4387213076691
15,5,15.5812171327338
15,5,17.1283282974907
15,5,17.1406570977245
15,10,13.2947830110261
15,10,14.0781506528579
15,10,14.7372284063531
15,10,14.8171539683627
15,50,9.29256508179864
15,50,10.942088470485
15,50,11.4429225058218
15,50,11.7765849525357
15,100,8.30408873570486
15,100,8.48096736922196
15,100,8.74556142673614
15,100,9.67000931502087
15,500,8.70038172972336
15,500,8.75553250053629
15,500,9.39464922774725
15,500,9.46691549199712
