t,input_il6,Compound_1_Obs
42,0,0.159586362409187
42,0,0.160937648873749
42,0.0005,0.153674266670007
42,0.0005,0.188116728485035
42,0.005,0.14207811846863
42,0.005,0.220163645178928
42,0.05,0.211254278376346
42,0.05,0.261325358430078
42,0.1,0.201861071629333
42,0.1,0.213769421560737
42,0.1,0.238246603626535
42,0.1,0.238558612916483
42,0.1,0.286994098165359
42,0.1,0.324606250796545
42,0.1,0.347010353415684
42,0.1,0.350716380519253
42,0.5,0.281830658297658
42,0.5,0.36416054658766
42,0.5,0.372373590329843
42,0.5,0.412930680146608
42,0.5,0.42096975601318
42,0.5,0.510986234649265
42,1,0.569222552744983
42,1,0.622971715629152
42,2.5,0.957336276996759
42,2.5,0.976534423006673
42,2.5,0.984292601860812
42,2.5,1.0017882119692
42,2.5,1.01218432387898
42,2.5,1.02926495079335
42,5,1.44658277992015
42,5,1.47134562773564
42,5,1.49943807817223
42,5,1.51708269132606
42,5,1.53282149312315
42,5,1.5340333815771
42,10,2.04323275677585
42,10,2.13222965294871
42,25,2.29251172067861
42,25,2.39589507278288
42,50,1.95883119539709
42,50,2.01404671827929
42,100,1.42075388681272
42,100,1.44142711008642
42,100,1.47561113368993
42,100,1.48404988038947
42,100,1.51965268560616
42,100,1.57557348171473
42,200,1.16859387693066
42,200,1.19569364861152
42,500,0.814568440739557
42,500,0.893104965394737
42,500,0.900414619352022
42,500,1.01668891655006
42,500,1.06942374135635
42,500,1.08571896073019
