t,Compound_1_Obs,Compound_2_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs
0,3.16236596724051,-2.34570634055319,0.0420696994925165,44.5213702015573,34.2649761418828,0.00301315475852252
10,3.18579727101168,NaN,0.13434518944016,NaN,40.9507803070216,NaN
15,NaN,NaN,NaN,39.432602247383,NaN,NaN
20,NaN,NaN,NaN,NaN,NaN,0.080098030354563
25,2.93585274772801,NaN,0.1473651413597,NaN,35.5845608380488,NaN
30,NaN,NaN,NaN,52.8831750183602,NaN,NaN
35,3.44427899931762,NaN,0.159875707072369,NaN,22.1262200014255,NaN
40,NaN,15.9807476805917,NaN,52.4900528854961,NaN,0.0823955856597493
50,2.92028241121572,NaN,0.150193452323179,NaN,29.578992278247,NaN
60,NaN,NaN,NaN,44.4015612375983,NaN,NaN
65,NaN,NaN,0.148601313451686,NaN,40.4348756423194,0.0623168380968977
70,2.63072638028285,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,37.5920114992864,NaN,NaN
80,NaN,19.50212043038,NaN,NaN,NaN,NaN
85,NaN,NaN,0.160512059500708,NaN,28.8440202750333,0.0421234285600323
90,2.76612426376466,NaN,NaN,NaN,NaN,NaN
100,2.44465891658766,33.4169117467509,0.127031208587704,46.3886470595802,38.0657700403208,0.0416650354231218
150,NaN,34.755494735416,NaN,46.7178370124305,34.6091351515235,0.0387141555244172
200,NaN,37.7899607753961,NaN,47.9169251010591,25.6599406393098,0.0352429386841202
250,NaN,30.4039724791699,NaN,40.7084626005502,NaN,0.0515071284483281
350,NaN,37.2947732174438,NaN,NaN,NaN,0.0418620968804543
400,NaN,40.053928860979,NaN,NaN,NaN,NaN
500,NaN,36.5432087471685,NaN,NaN,NaN,NaN
600,NaN,34.7468039364236,NaN,NaN,NaN,NaN
700,NaN,32.9037066438033,NaN,NaN,NaN,NaN
850,NaN,34.1192935688853,NaN,NaN,NaN,NaN
